datetime,temperature_c,precipitation_mm,solar_radiation_wm2,windspeed_ms,humidity_pct
2019-01-01 00:00:00,4.525,0.0,0.0,3.6525,57.5
2019-01-01 01:00:00,4.475,0.0,0.0,3.125,56.5
2019-01-01 02:00:00,3.4749999999999996,0.0,0.0,3.1950000000000003,57.25
2019-01-01 03:00:00,3.5,0.0,0.0,2.635,54.0
2019-01-01 04:00:00,2.025,0.0,0.0,2.985,59.5
2019-01-01 05:00:00,2.8499999999999996,0.0,0.0,1.9425,60.0
2019-01-01 06:00:00,2.625,0.0,0.0,1.8775,59.5
2019-01-01 07:00:00,2.575,0.0,0.0,1.9075,56.0
2019-01-01 08:00:00,2.525,0.0,0.0,1.1825,54.0
2019-01-01 09:00:00,3.1,0.0,30.5,1.5275,56.25
2019-01-01 10:00:00,5.65,0.0,176.5,2.0725,51.25
2019-01-01 11:00:00,8.0,0.0,333.75,2.56,41.25
2019-01-01 12:00:00,9.75,0.0,452.5,2.5549999999999997,36.5
2019-01-01 13:00:00,11.125,0.0,519.5,3.375,33.75
2019-01-01 14:00:00,12.05,0.0,518.5,3.4825,31.75
2019-01-01 15:00:00,12.35,0.0,438.25,2.7025,31.75
2019-01-01 16:00:00,12.35,0.0,338.0,2.4625,32.5
2019-01-01 17:00:00,11.925,0.0,193.75,1.995,39.0
2019-01-01 18:00:00,8.575,0.0,43.75,3.345,46.75
2019-01-01 19:00:00,8.95,0.0,0.0,2.8225,37.75
2019-01-01 20:00:00,7.475,0.0,0.0,2.2,40.0
2019-01-01 21:00:00,5.825,0.0,0.0,2.185,45.0
2019-01-01 22:00:00,4.1,0.0,0.0,2.3925,51.0
2019-01-01 23:00:00,3.1750000000000003,0.0,0.0,1.98,53.5
2019-01-02 00:00:00,2.9250000000000003,0.0,0.0,2.3575,54.0
2019-01-02 01:00:00,2.325,0.0,0.0,2.42,56.75
2019-01-02 02:00:00,1.675,0.0,0.0,2.3525,60.0
2019-01-02 03:00:00,1.55,0.0,0.0,2.345,59.5
2019-01-02 04:00:00,1.1500000000000001,0.0,0.0,2.225,60.75
2019-01-02 05:00:00,0.675,0.0,0.0,1.975,65.75
2019-01-02 06:00:00,0.17499999999999993,0.0,0.0,1.7274999999999998,67.25
2019-01-02 07:00:00,0.20000000000000007,0.0,0.0,1.6975,66.5
2019-01-02 08:00:00,-0.17499999999999993,0.0,0.0,1.665,67.0
2019-01-02 09:00:00,1.5,0.0,29.25,1.4125,64.0
2019-01-02 10:00:00,5.15,0.0,169.25,1.36,53.0
2019-01-02 11:00:00,7.65,0.0,324.25,1.1475,44.5
2019-01-02 12:00:00,9.325,0.0,443.0,0.91,40.75
2019-01-02 13:00:00,10.6,0.0,508.25,0.865,38.25
2019-01-02 14:00:00,11.55,0.0,513.75,0.9325,36.25
2019-01-02 15:00:00,12.15,0.0,458.25,1.0675,36.25
2019-01-02 16:00:00,12.225,0.0,347.75,1.3475000000000001,38.25
2019-01-02 17:00:00,12.125,0.0,196.25,1.2025,47.25
2019-01-02 18:00:00,10.425,0.0,44.75,1.4,42.75
2019-01-02 19:00:00,10.1,0.0,0.0,1.0575,42.0
2019-01-02 20:00:00,8.025,0.0,0.0,1.23,52.5
2019-01-02 21:00:00,5.9,0.0,0.0,1.8824999999999998,60.0
2019-01-02 22:00:00,4.775,0.0,0.0,1.9875,63.75
2019-01-02 23:00:00,4.125,0.0,0.0,1.805,65.25
2019-01-03 00:00:00,3.5250000000000004,0.0,0.0,1.9875,67.75
2019-01-03 01:00:00,3.825,0.0,0.0,1.79,66.0
2019-01-03 02:00:00,3.6500000000000004,0.0,0.0,1.865,66.5
2019-01-03 03:00:00,2.65,0.0,0.0,2.4375,70.25
2019-01-03 04:00:00,5.0,0.0,0.0,1.2725,59.75
2019-01-03 05:00:00,4.025,0.0,0.0,1.1975,65.0
2019-01-03 06:00:00,3.15,0.0,0.0,1.5825,68.25
2019-01-03 07:00:00,2.3,0.0,0.0,1.73,70.25
2019-01-03 08:00:00,2.1,0.0,0.0,1.8325,71.0
2019-01-03 09:00:00,2.925,0.0,28.75,1.45,70.5
2019-01-03 10:00:00,5.625,0.0,168.0,1.3325,62.0
2019-01-03 11:00:00,8.175,0.0,320.75,1.305,55.5
2019-01-03 12:00:00,10.175,0.0,436.25,1.17,50.5
2019-01-03 13:00:00,11.675,0.0,490.75,1.1125,46.5
2019-01-03 14:00:00,12.875,0.0,495.25,1.1675,43.0
2019-01-03 15:00:00,13.55,0.0,448.25,1.565,41.5
2019-01-03 16:00:00,13.7,0.0,323.5,1.6325,41.25
2019-01-03 17:00:00,13.325,0.0,173.75,1.2475,49.5
2019-01-03 18:00:00,10.025,0.0,40.75,2.2275,60.5
2019-01-03 19:00:00,8.65,0.0,0.0,2.5025,66.0
2019-01-03 20:00:00,7.275,0.0,0.0,2.235,72.25
2019-01-03 21:00:00,7.425,0.0,0.0,1.6475,70.25
2019-01-03 22:00:00,6.15,0.0,0.0,1.7474999999999998,72.25
2019-01-03 23:00:00,5.325,0.0,0.0,1.71,74.25
2019-01-04 00:00:00,4.85,0.0,0.0,1.7325,74.5
2019-01-04 01:00:00,5.075,0.0,0.0,1.6425,72.75
2019-01-04 02:00:00,5.0,0.0,0.0,1.725,72.0
2019-01-04 03:00:00,4.050000000000001,0.0,0.0,2.0275,73.0
2019-01-04 04:00:00,4.375,0.0,0.0,1.72,70.5
2019-01-04 05:00:00,5.325,0.0,0.0,1.1125,67.0
2019-01-04 06:00:00,4.3,0.0,0.0,1.1400000000000001,69.75
2019-01-04 07:00:00,3.325,0.0,0.0,1.3725,72.5
2019-01-04 08:00:00,3.125,0.0,0.0,1.63,72.0
2019-01-04 09:00:00,3.975,0.0,27.75,1.3275000000000001,70.25
2019-01-04 10:00:00,6.75,0.0,153.25,0.9475,65.0
2019-01-04 11:00:00,9.425,0.0,291.25,1.38,58.25
2019-01-04 12:00:00,11.725,0.0,413.0,1.705,52.5
2019-01-04 13:00:00,13.225,0.0,469.25,1.9100000000000001,48.75
2019-01-04 14:00:00,14.425,0.0,504.0,2.1775,46.25
2019-01-04 15:00:00,15.15,0.0,457.75,2.465,45.75
2019-01-04 16:00:00,15.15,0.0,348.75,2.3925,47.25
2019-01-04 17:00:00,14.05,0.0,199.0,2.0175,59.5
2019-01-04 18:00:00,10.65,0.0,47.5,2.4924999999999997,66.25
2019-01-04 19:00:00,9.6,0.0,0.0,2.165,69.25
2019-01-04 20:00:00,8.025,0.0,0.0,2.215,75.75
2019-01-04 21:00:00,7.625,0.0,0.0,2.1075,76.75
2019-01-04 22:00:00,7.05,0.0,0.0,2.1625,78.5
2019-01-04 23:00:00,6.65,0.0,0.0,2.4325,79.25
2019-01-05 00:00:00,6.35,0.0,0.0,2.41,79.0
2019-01-05 01:00:00,6.5,0.0,0.0,2.6225,78.0
2019-01-05 02:00:00,6.6,0.0,0.0,2.905,81.5
2019-01-05 03:00:00,6.25,0.0,0.0,2.67,83.0
2019-01-05 04:00:00,6.199999999999999,0.0,0.0,2.955,85.0
2019-01-05 05:00:00,5.25,0.0,0.0,2.44,85.5
2019-01-05 06:00:00,5.35,0.0,0.0,2.6,86.75
2019-01-05 07:00:00,6.275,0.0,0.0,2.6575,83.5
2019-01-05 08:00:00,7.1000000000000005,0.0,0.0,2.7325,78.75
2019-01-05 09:00:00,7.95,0.025,10.75,3.73,72.0
2019-01-05 10:00:00,9.5,0.15,49.75,4.03,65.0
2019-01-05 11:00:00,10.7,0.675,100.25,4.5675,68.25
2019-01-05 12:00:00,11.35,0.675,112.75,5.3500000000000005,70.25
2019-01-05 13:00:00,11.925,0.575,145.25,5.6925,69.75
2019-01-05 14:00:00,12.45,0.525,145.75,5.7675,68.0
2019-01-05 15:00:00,12.725,0.3,125.5,6.1375,69.25
2019-01-05 16:00:00,11.8,0.8250000000000001,59.0,5.5225,76.75
2019-01-05 17:00:00,11.0,0.7000000000000001,45.5,4.470000000000001,78.25
2019-01-05 18:00:00,10.475,1.6,10.5,5.3675,82.0
2019-01-05 19:00:00,9.75,0.975,0.0,5.755,86.75
2019-01-05 20:00:00,9.274999999999999,0.95,0.0,5.6674999999999995,86.0
2019-01-05 21:00:00,9.175,0.725,0.0,4.4825,85.75
2019-01-05 22:00:00,8.8,0.8999999999999999,0.0,3.3600000000000003,89.0
2019-01-05 23:00:00,8.525,0.625,0.0,3.51,88.75
2019-01-06 00:00:00,7.85,0.7,0.0,3.1325000000000003,91.0
2019-01-06 01:00:00,7.375,0.925,0.0,3.1775,90.25
2019-01-06 02:00:00,7.225,0.45,0.0,2.9825,91.25
2019-01-06 03:00:00,6.825,0.225,0.0,3.08,92.0
2019-01-06 04:00:00,5.975,0.05,0.0,2.6174999999999997,93.5
2019-01-06 05:00:00,7.55,0.025,0.0,2.5324999999999998,92.75
2019-01-06 06:00:00,7.575,0.175,0.0,3.275,91.75
2019-01-06 07:00:00,7.75,0.15,0.0,3.0575,89.5
2019-01-06 08:00:00,7.425,0.1,0.0,3.47,90.25
2019-01-06 09:00:00,8.475000000000001,0.075,21.0,3.8649999999999998,86.75
2019-01-06 10:00:00,9.7,0.175,88.25,4.2924999999999995,83.5
2019-01-06 11:00:00,10.525,0.5249999999999999,148.5,4.66,80.25
2019-01-06 12:00:00,11.125,1.0,204.75,5.1025,77.5
2019-01-06 13:00:00,11.5,1.375,170.0,5.3925,75.25
2019-01-06 14:00:00,12.075,1.55,175.25,5.765,72.25
2019-01-06 15:00:00,12.25,1.575,152.75,6.205,71.5
2019-01-06 16:00:00,11.65,2.45,106.75,6.2,76.75
2019-01-06 17:00:00,10.95,1.975,58.25,6.115,77.75
2019-01-06 18:00:00,10.625,2.0,13.5,6.6975,79.75
2019-01-06 19:00:00,10.575,2.0,0.0,6.515000000000001,83.25
2019-01-06 20:00:00,11.075,1.2750000000000001,0.0,6.3625,82.25
2019-01-06 21:00:00,10.775,0.75,0.0,5.685,84.5
2019-01-06 22:00:00,10.975,0.675,0.0,6.09,83.75
2019-01-06 23:00:00,10.925,0.7250000000000001,0.0,5.8125,85.25
2019-01-07 00:00:00,11.025,1.1,0.0,6.145,84.25
2019-01-07 01:00:00,10.5,0.175,0.0,5.5275,85.5
2019-01-07 02:00:00,11.075,0.1,0.0,4.8774999999999995,82.0
2019-01-07 03:00:00,10.625,0.05,0.0,4.73,83.0
2019-01-07 04:00:00,9.9,0.175,0.0,4.5675,85.5
2019-01-07 05:00:00,10.675,0.125,0.0,3.71,87.5
2019-01-07 06:00:00,10.55,0.1,0.0,3.0225,87.5
2019-01-07 07:00:00,10.2,0.125,0.0,2.91,88.5
2019-01-07 08:00:00,9.825,0.15,0.0,2.8725,88.5
2019-01-07 09:00:00,10.05,0.07500000000000001,10.0,2.9075,88.75
2019-01-07 10:00:00,11.175,0.07500000000000001,69.5,2.7375,85.5
2019-01-07 11:00:00,12.75,0.0,200.25,2.825,79.25
2019-01-07 12:00:00,13.85,0.0,284.5,2.895,72.0
2019-01-07 13:00:00,14.7,0.0,294.25,2.6975,69.0
2019-01-07 14:00:00,15.25,0.0,276.75,2.5175,67.5
2019-01-07 15:00:00,15.700000000000001,0.0,269.25,2.6725,66.25
2019-01-07 16:00:00,15.75,0.0,192.5,2.4025,67.0
2019-01-07 17:00:00,14.75,0.0,106.0,2.25,76.5
2019-01-07 18:00:00,13.25,0.0,30.0,2.0,82.25
2019-01-07 19:00:00,12.675,0.0,0.0,2.0425,85.0
2019-01-07 20:00:00,12.149999999999999,0.0,0.0,2.5025,85.0
2019-01-07 21:00:00,11.7,0.025,0.0,2.3024999999999998,85.5
2019-01-07 22:00:00,11.05,0.025,0.0,1.6025,86.25
2019-01-07 23:00:00,10.55,0.0,0.0,1.9175,88.0
2019-01-08 00:00:00,10.225000000000001,0.0,0.0,2.0725000000000002,89.25
2019-01-08 01:00:00,9.9,0.0,0.0,2.0025,90.0
2019-01-08 02:00:00,10.275,0.0,0.0,1.655,87.5
2019-01-08 03:00:00,9.775,0.0,0.0,2.0949999999999998,89.0
2019-01-08 04:00:00,9.425,0.0,0.0,2.02,88.5
2019-01-08 05:00:00,9.575,0.0,0.0,1.5925,88.5
2019-01-08 06:00:00,9.45,0.0,0.0,2.1525000000000003,88.0
2019-01-08 07:00:00,9.575,0.025,0.0,2.2675,85.75
2019-01-08 08:00:00,9.775,0.125,0.0,1.9949999999999999,84.75
2019-01-08 09:00:00,10.575,0.125,20.0,2.4025,83.5
2019-01-08 10:00:00,12.425,0.0,100.5,2.5175,78.75
2019-01-08 11:00:00,14.15,0.0,176.0,2.705,72.5
2019-01-08 12:00:00,15.799999999999999,0.05,246.75,3.06,64.5
2019-01-08 13:00:00,16.875,0.075,303.0,3.1025,62.25
2019-01-08 14:00:00,17.5,0.0,310.0,3.17,60.5
2019-01-08 15:00:00,17.925,0.07500000000000001,299.5,3.67,58.25
2019-01-08 16:00:00,17.6,0.0,217.75,3.6875,59.5
2019-01-08 17:00:00,16.2,0.025,122.5,2.895,71.25
2019-01-08 18:00:00,15.025,0.22499999999999998,25.0,2.5125,74.25
2019-01-08 19:00:00,14.675,0.175,0.0,2.69,75.25
2019-01-08 20:00:00,13.45,0.275,0.0,3.335,81.0
2019-01-08 21:00:00,12.75,0.05,0.0,3.225,84.25
2019-01-08 22:00:00,12.125,0.15,0.0,2.7199999999999998,87.25
2019-01-08 23:00:00,11.575,0.15,0.0,2.9074999999999998,87.0
2019-01-09 00:00:00,11.825,0.025,0.0,2.9175,84.25
2019-01-09 01:00:00,11.425,0.22499999999999998,0.0,3.7975,84.5
2019-01-09 02:00:00,11.600000000000001,0.30000000000000004,0.0,3.8275,83.0
2019-01-09 03:00:00,12.0,0.25,0.0,3.835,79.5
2019-01-09 04:00:00,12.125,0.2,0.0,3.9025,78.5
2019-01-09 05:00:00,12.2,0.25,0.0,3.125,81.25
2019-01-09 06:00:00,12.1,0.375,0.0,2.9625,82.25
2019-01-09 07:00:00,11.5,0.35,0.0,3.415,83.75
2019-01-09 08:00:00,11.775,0.325,0.0,3.745,81.5
2019-01-09 09:00:00,11.75,0.30000000000000004,16.75,3.49,83.75
2019-01-09 10:00:00,12.600000000000001,0.125,81.5,3.26,82.25
2019-01-09 11:00:00,13.3,0.19999999999999998,144.5,3.455,84.75
2019-01-09 12:00:00,14.525,0.07500000000000001,263.75,3.58,79.75
2019-01-09 13:00:00,14.775,0.1,287.25,3.4074999999999998,77.5
2019-01-09 14:00:00,15.399999999999999,0.15,292.5,3.395,75.0
2019-01-09 15:00:00,15.225,0.775,221.0,3.15,77.75
2019-01-09 16:00:00,14.950000000000001,0.35,191.25,3.365,79.0
2019-01-09 17:00:00,14.15,0.375,107.5,3.4625000000000004,83.0
2019-01-09 18:00:00,13.05,0.05,31.5,2.535,89.0
2019-01-09 19:00:00,12.425,0.025,0.0,2.4625000000000004,89.25
2019-01-09 20:00:00,12.175,0.05,0.0,2.4450000000000003,86.25
2019-01-09 21:00:00,11.4,0.1,0.0,2.5324999999999998,88.75
2019-01-09 22:00:00,11.05,0.19999999999999998,0.0,2.0475,86.25
2019-01-09 23:00:00,10.4,0.15,0.0,2.2325,91.0
2019-01-10 00:00:00,9.75,0.075,0.0,2.06,93.5
2019-01-10 01:00:00,9.375,0.025,0.0,1.9775,93.75
2019-01-10 02:00:00,9.075,0.0,0.0,1.69,92.75
2019-01-10 03:00:00,8.425,0.0,0.0,1.9175,93.5
2019-01-10 04:00:00,8.25,0.0,0.0,1.6625,92.75
2019-01-10 05:00:00,7.75,0.0,0.0,1.4875,93.0
2019-01-10 06:00:00,8.35,0.0,0.0,1.23,88.0
2019-01-10 07:00:00,8.225000000000001,0.0,0.0,0.9875,88.0
2019-01-10 08:00:00,8.075,0.0,0.0,0.745,89.5
2019-01-10 09:00:00,7.9,0.0,24.75,1.42,90.5
2019-01-10 10:00:00,9.775,0.0,139.75,1.2275,87.75
2019-01-10 11:00:00,11.3,0.0,241.5,1.055,85.0
2019-01-10 12:00:00,12.575,0.0,320.25,0.9375,81.5
2019-01-10 13:00:00,13.675,0.0,380.5,0.79,77.5
2019-01-10 14:00:00,14.575,0.0,395.0,1.1675,71.5
2019-01-10 15:00:00,15.299999999999999,0.0,372.25,1.3225,67.25
2019-01-10 16:00:00,15.425,0.0,288.0,1.455,66.0
2019-01-10 17:00:00,14.05,0.0,183.0,2.1925,77.0
2019-01-10 18:00:00,12.425,0.0,51.75,1.8625,85.25
2019-01-10 19:00:00,11.025,0.0,0.0,1.525,90.25
2019-01-10 20:00:00,11.275,0.0,0.0,1.015,89.0
2019-01-10 21:00:00,10.1,0.0,0.0,1.4125,92.0
2019-01-10 22:00:00,9.425,0.0,0.0,1.415,92.5
2019-01-10 23:00:00,7.775,0.0,0.0,1.73,96.25
2019-01-11 00:00:00,7.45,0.0,0.0,1.7850000000000001,96.25
2019-01-11 01:00:00,7.225,0.0,0.0,2.1675,97.0
2019-01-11 02:00:00,7.3,0.0,0.0,1.7275,97.0
2019-01-11 03:00:00,7.8,0.0,0.0,1.745,95.0
2019-01-11 04:00:00,7.85,0.0,0.0,1.7075,95.5
2019-01-11 05:00:00,7.975,0.0,0.0,1.72,95.0
2019-01-11 06:00:00,8.5,0.0,0.0,2.0525,94.25
2019-01-11 07:00:00,8.925,0.0,0.0,2.5324999999999998,91.75
2019-01-11 08:00:00,9.25,0.0,0.0,2.25,88.75
2019-01-11 09:00:00,9.675,0.0,17.25,2.5100000000000002,87.25
2019-01-11 10:00:00,11.05,0.0,113.5,2.475,82.75
2019-01-11 11:00:00,13.100000000000001,0.0,245.0,2.6174999999999997,75.0
2019-01-11 12:00:00,14.45,0.0,319.75,3.03,68.25
2019-01-11 13:00:00,15.4,0.0,376.5,3.1374999999999997,63.5
2019-01-11 14:00:00,16.375,0.0,393.0,3.0999999999999996,59.5
2019-01-11 15:00:00,17.175,0.0,403.75,3.1174999999999997,56.25
2019-01-11 16:00:00,16.975,0.0,252.5,2.4475,58.25
2019-01-11 17:00:00,15.2,0.0,168.5,2.505,70.0
2019-01-11 18:00:00,12.65,0.375,35.5,2.0975,82.75
2019-01-11 19:00:00,11.875,0.275,0.0,1.785,84.75
2019-01-11 20:00:00,10.9,0.35,0.0,2.075,89.25
2019-01-11 21:00:00,10.425,0.2,0.0,2.26,90.75
2019-01-11 22:00:00,10.1,0.15,0.0,2.8325,90.75
2019-01-11 23:00:00,10.375,0.35,0.0,2.84,88.25
2019-01-12 00:00:00,9.675,0.275,0.0,2.645,89.75
2019-01-12 01:00:00,9.85,0.35,0.0,2.49,88.0
2019-01-12 02:00:00,9.675,0.19999999999999998,0.0,1.585,88.5
2019-01-12 03:00:00,9.275,0.45,0.0,2.135,89.5
2019-01-12 04:00:00,8.7,1.2249999999999999,0.0,2.445,91.25
2019-01-12 05:00:00,8.675,0.75,0.0,2.675,89.25
2019-01-12 06:00:00,8.05,1.05,0.0,3.215,90.0
2019-01-12 07:00:00,8.149999999999999,0.15,0.0,2.5374999999999996,85.75
2019-01-12 08:00:00,8.024999999999999,0.025,0.0,1.945,86.0
2019-01-12 09:00:00,8.55,0.075,17.0,1.9024999999999999,88.0
2019-01-12 10:00:00,10.4,0.025,108.75,2.1675,82.25
2019-01-12 11:00:00,12.35,0.05,238.25,2.2175000000000002,75.0
2019-01-12 12:00:00,13.45,0.075,312.5,2.2975,70.25
2019-01-12 13:00:00,14.575000000000001,0.025,422.75,1.7025000000000001,65.75
2019-01-12 14:00:00,15.399999999999999,0.025,459.0,1.815,62.25
2019-01-12 15:00:00,15.8,0.0,396.5,2.18,59.75
2019-01-12 16:00:00,15.600000000000001,0.15,308.5,2.45,60.25
2019-01-12 17:00:00,14.975,0.025,171.0,1.6724999999999999,69.5
2019-01-12 18:00:00,12.15,0.05,49.5,2.225,81.75
2019-01-12 19:00:00,11.1,0.025,0.0,2.0575,86.5
2019-01-12 20:00:00,10.6,0.0,0.0,2.0825,87.5
2019-01-12 21:00:00,9.175,0.0,0.0,2.3025,90.5
2019-01-12 22:00:00,8.6,0.0,0.0,2.4075,90.75
2019-01-12 23:00:00,8.275,0.0,0.0,2.3674999999999997,91.75
2019-01-13 00:00:00,7.824999999999999,0.0,0.0,2.065,92.0
2019-01-13 01:00:00,7.4,0.0,0.0,2.0175,92.25
2019-01-13 02:00:00,7.35,0.0,0.0,2.105,90.5
2019-01-13 03:00:00,7.475,0.0,0.0,2.2624999999999997,88.75
2019-01-13 04:00:00,6.8999999999999995,0.0,0.0,2.0975,91.25
2019-01-13 05:00:00,6.725,0.0,0.0,1.8175,92.0
2019-01-13 06:00:00,6.4,0.0,0.0,2.265,92.0
2019-01-13 07:00:00,6.25,0.0,0.0,2.185,90.5
2019-01-13 08:00:00,6.55,0.0,0.0,1.8975,89.0
2019-01-13 09:00:00,7.525,0.0,25.25,1.51,86.75
2019-01-13 10:00:00,9.825,0.0,143.25,1.565,80.25
2019-01-13 11:00:00,12.25,0.0,290.25,1.8975,72.0
2019-01-13 12:00:00,14.15,0.0,424.75,2.0775,63.5
2019-01-13 13:00:00,15.325,0.0,478.0,2.1100000000000003,58.75
2019-01-13 14:00:00,16.025,0.0,479.0,2.3075,57.5
2019-01-13 15:00:00,16.1,0.0,393.0,2.4050000000000002,57.25
2019-01-13 16:00:00,15.925,0.0,266.5,2.135,58.25
2019-01-13 17:00:00,15.2,0.0,176.5,1.8175,68.75
2019-01-13 18:00:00,13.55,0.0,48.25,1.7675,69.25
2019-01-13 19:00:00,11.6,0.0,0.0,2.315,75.5
2019-01-13 20:00:00,10.0,0.0,0.0,2.35,82.25
2019-01-13 21:00:00,9.125,0.0,0.0,2.275,82.75
2019-01-13 22:00:00,9.125,0.0,0.0,2.2975,79.75
2019-01-13 23:00:00,9.225,0.0,0.0,2.0525,78.0
2019-01-14 00:00:00,9.4,0.0,0.0,1.7825,74.5
2019-01-14 01:00:00,9.325,0.0,0.0,1.545,72.5
2019-01-14 02:00:00,9.125,0.0,0.0,1.8424999999999998,70.25
2019-01-14 03:00:00,9.05,0.0,0.0,1.8875,68.75
2019-01-14 04:00:00,8.65,0.0,0.0,1.8075,70.5
2019-01-14 05:00:00,9.375,0.0,0.0,2.49,70.0
2019-01-14 06:00:00,8.95,0.0,0.0,1.9449999999999998,73.0
2019-01-14 07:00:00,8.15,0.0,0.0,2.49,75.75
2019-01-14 08:00:00,8.4,0.375,0.0,2.0425,76.0
2019-01-14 09:00:00,8.45,0.45,8.75,1.6175,76.75
2019-01-14 10:00:00,9.399999999999999,0.975,48.5,1.22,75.75
2019-01-14 11:00:00,10.325,1.85,94.0,1.815,75.0
2019-01-14 12:00:00,11.425,1.55,137.5,2.2475,69.25
2019-01-14 13:00:00,12.3,0.5,186.25,3.24,64.5
2019-01-14 14:00:00,12.175,1.05,121.5,2.8525,67.0
2019-01-14 15:00:00,12.2,0.55,134.25,2.66,69.75
2019-01-14 16:00:00,11.75,0.475,79.0,2.2824999999999998,76.0
2019-01-14 17:00:00,11.675,0.475,37.75,4.3425,81.0
2019-01-14 18:00:00,10.75,0.45,18.5,3.115,85.0
2019-01-14 19:00:00,10.1,0.15000000000000002,0.0,3.175,86.0
2019-01-14 20:00:00,9.875,0.275,0.0,3.2,83.5
2019-01-14 21:00:00,9.7,0.2,0.0,2.5925,85.25
2019-01-14 22:00:00,8.975000000000001,0.19999999999999998,0.0,2.6574999999999998,87.0
2019-01-14 23:00:00,8.9,0.05,0.0,2.635,87.25
2019-01-15 00:00:00,8.725,0.0,0.0,2.8925,87.25
2019-01-15 01:00:00,8.675,0.0,0.0,2.9925,87.5
2019-01-15 02:00:00,8.575,0.0,0.0,3.2775000000000003,87.0
2019-01-15 03:00:00,8.65,0.025,0.0,3.4975,85.75
2019-01-15 04:00:00,8.625,0.05,0.0,3.4450000000000003,84.5
2019-01-15 05:00:00,9.475,0.075,0.0,3.5524999999999998,82.0
2019-01-15 06:00:00,9.675,0.1,0.0,3.4575,82.25
2019-01-15 07:00:00,9.975,0.15,0.0,3.5975,83.0
2019-01-15 08:00:00,10.075,0.25,0.0,3.7925,80.75
2019-01-15 09:00:00,10.475,0.275,9.75,4.3925,76.0
2019-01-15 10:00:00,10.95,0.725,40.25,4.4025,75.0
2019-01-15 11:00:00,11.175,0.8,62.0,4.2475000000000005,77.5
2019-01-15 12:00:00,11.95,0.875,118.75,4.395,76.5
2019-01-15 13:00:00,11.95,0.95,84.25,4.37,76.25
2019-01-15 14:00:00,11.925,0.925,107.0,4.8774999999999995,73.25
2019-01-15 15:00:00,12.025,0.55,96.5,5.1425,72.5
2019-01-15 16:00:00,12.05,0.5750000000000001,107.5,4.835,73.5
2019-01-15 17:00:00,11.45,0.425,46.25,4.605,83.5
2019-01-15 18:00:00,11.45,1.675,12.5,5.3975,82.25
2019-01-15 19:00:00,11.55,1.2249999999999999,0.0,6.115,82.5
2019-01-15 20:00:00,11.35,1.35,0.0,5.3125,83.5
2019-01-15 21:00:00,11.425,1.625,0.0,5.1274999999999995,85.5
2019-01-15 22:00:00,11.725,0.75,0.0,6.37,83.75
2019-01-15 23:00:00,11.625,0.475,0.0,5.505,84.5
2019-01-16 00:00:00,11.575,0.75,0.0,5.2325,86.0
2019-01-16 01:00:00,11.600000000000001,0.575,0.0,5.1325,85.0
2019-01-16 02:00:00,11.65,0.4,0.0,4.8,84.0
2019-01-16 03:00:00,11.6,0.275,0.0,4.805,85.0
2019-01-16 04:00:00,11.525,0.125,0.0,4.725,86.5
2019-01-16 05:00:00,11.825,0.125,0.0,4.465,89.0
2019-01-16 06:00:00,11.925,0.175,0.0,4.0125,88.75
2019-01-16 07:00:00,12.225,0.07500000000000001,0.0,4.27,87.0
2019-01-16 08:00:00,12.05,0.025,0.0,4.3325000000000005,88.0
2019-01-16 09:00:00,12.4,0.07500000000000001,12.5,4.91,87.25
2019-01-16 10:00:00,13.225,0.175,54.75,5.5975,84.0
2019-01-16 11:00:00,14.65,0.19999999999999998,144.5,6.24,79.0
2019-01-16 12:00:00,15.225,1.0499999999999998,188.5,6.3149999999999995,77.5
2019-01-16 13:00:00,15.375,1.6,190.0,6.4375,76.0
2019-01-16 14:00:00,15.725,0.975,194.5,6.0325,74.75
2019-01-16 15:00:00,15.575,1.025,135.5,6.1625,74.75
2019-01-16 16:00:00,15.5,1.5,87.0,6.525,75.5
2019-01-16 17:00:00,14.125,2.1,52.5,5.5125,83.5
2019-01-16 18:00:00,14.025,1.775,10.75,5.845,85.75
2019-01-16 19:00:00,13.825,2.05,0.0,6.327500000000001,86.75
2019-01-16 20:00:00,14.05,2.35,0.0,6.1425,87.5
2019-01-16 21:00:00,14.075,2.025,0.0,5.8725000000000005,88.25
2019-01-16 22:00:00,14.05,3.2,0.0,5.645,88.25
2019-01-16 23:00:00,14.025,4.45,0.0,5.26,88.25
2019-01-17 00:00:00,14.0,2.2,0.0,5.96,86.0
2019-01-17 01:00:00,13.375,0.55,0.0,5.0225,87.0
2019-01-17 02:00:00,13.0,0.75,0.0,4.8575,88.75
2019-01-17 03:00:00,12.9,1.375,0.0,4.0649999999999995,90.75
2019-01-17 04:00:00,13.075,0.8,0.0,4.245,91.25
2019-01-17 05:00:00,13.2,0.475,0.0,4.2825,90.75
2019-01-17 06:00:00,13.2,0.8,0.0,4.255,92.0
2019-01-17 07:00:00,13.075,1.5,0.0,3.92,91.75
2019-01-17 08:00:00,13.15,0.9,0.0,4.2325,90.25
2019-01-17 09:00:00,13.25,0.44999999999999996,7.25,4.3875,89.5
2019-01-17 10:00:00,13.975,0.675,73.5,4.2675,88.25
2019-01-17 11:00:00,14.725,1.025,158.75,3.745,86.0
2019-01-17 12:00:00,15.025,0.75,190.75,3.815,83.5
2019-01-17 13:00:00,15.524999999999999,0.525,244.75,4.1825,78.0
2019-01-17 14:00:00,15.775,0.39999999999999997,252.0,4.155,73.75
